notation,prefLabel
59.33,Rentoutus. Uni. Unettomuus
59.331,Jooga
59.34,Ravinto-oppi. Ruokavaliot
59.35,Seksologia
59.4,Hoitomenetelmät
59.41,Fysioterapia. Fysiologiset hoitomuodot
59.411,Akupunktio. Akupainanta. Vyöhyketerapia
59.42,Sairaiden ja vammaisten apuvälineet
59.43,Lääkehoito. Lääkeaineoppi
59.48,Kirurgia. Leikkaushoito
59.49,Saattohoito
59.5,Elimet. Taudit
59.51,Tartuntataudit
59.511,Sukupuolitaudit
59.52,Liikuntaelimet. Liikuntaelinten taudit
59.53,Sisäelimet. Sisätaudit
59.532,Hengityselimet. Hengityselinten taudit
59.533,Sisäeritysrauhaset. Aineenvaihduntataudit
59.534,Veri. Veritaudit. Verenkiertoelimet. Verenkiertoelinten taudit
59.535,Ruoansulatuselimet. Ruoansulatuselinten taudit
59.536,Virtsaelimet. Virtsaelinten taudit
59.54,Syöpätaudit
59.55,Hermosto. Neurologia
59.56,Psykiatria
59.561,Psyykkiset sairaudet
59.5612,Syömishäiriöt
59.562,Psykoterapia. Mielenterveystyö
59.5622,Psykoanalyysi
59.5623,"Perhe-, ryhmä- ja ympäristöterapiat"
59.5624,Luovuus- ja toimintaterapiat
59.563,Mielenterveys. Tunne-elämän häiriöt
59.564,Kriisipsykologia. Katastrofipsykologia. Surutyö
59.565,Itsemurhat ja niiden ehkäisy
59.567,Päihteiden ja piristeiden käyttö
59.5671,Tupakointi
59.5672,Alkoholismi. Alkoholinkäyttö
59.5673,Narkomania
59.57,Gynekologia
59.571,Raskaus. Sikiönkehitys. Synnytys
59.58,Allergiset taudit. Iho. Ihotaudit
59.59,"Aistinelimet. Silmätaudit. Kurkku-, nenä- ja korvataudit"
59.6,Lasten terveydenhoito. Lastentaudit
59.8,Vanhusten terveydenhoito. Vanhusten taudit
59.9,Hammaslääketiede
6,TEKNIIKKA. TEOLLISUUS. KÄSITYÖ. MAA- JA METSÄTALOUS KOTITALOUS. LIIKETALOUS. LIIKENNE
60,SOVELLETUT TIETEET
60.1,Tekninen piirustus
60.2,Aineoppi. Aineenkoetus. Tekninen mekaniikka
60.3,Standardit. Normit. Mittayksiköt
60.4,Innovaatiot. Keksinnöt. Patentit
60.7,Tekniikka ja sovelletut tieteet harrasteena
60.8,Energia
60.82,Orgaaniset ja fossiiliset polttoaineet
60.85,Ydinenergia
61,ATK. TIETOTEKNIIKKA. TIETOLIIKENNE. VIESTINTÄTEKNIIKKA
61.2,Systeemityö. Tiedonhallinta
61.3,Ohjelmointi. Ohjelmointikielet
61.4,Tietokoneet
61.44,Tietokoneiden lisälaitteet
61.6,Säätö- ja systeemitekniikka. Teollinen automaatio
61.7,Tietoliikenne. Viestintätekniikka. Multimedia
61.72,Internet. Intranet. Ekstranet
61.721,Verkkoyhteisöt. Sähköposti. Verkkojuttelu
61.722,Verkkojulkaiseminen
61.73,Matkaviestinpalvelut. Puhelinliikenne
61.74,Audiovisuaalinen tekniikka
61.741,Äänitekniikka. Radiotekniikka
61.742,Kuvantoistotekniikka. Televisiotekniikka
62,METALLITEOLLISUUS. KONETEKNIIKKA. LIIKENNEVÄLINEET SÄHKÖTEKNIIKKA
62.1,Mekaaninen teknologia. Metallin työstö
62.2,Konetekniikka. Voitelutekniikka
62.21,Kone-elimet. Koneen osat
62.22,Paineilmatekniikka. Tyhjötekniikka. Kylmätekniikka
62.3,Voimakoneet. Moottorit
62.4,Nosto- ja kuljetuslaitteet. Hydrauliikka
62.5,Liikennevälineet
62.51,Moottoriajoneuvot
62.511,Autot
62.5112,Yksittäiset automerkit ja -mallit
62.512,Moottoripyörät. Mopedit. Moottorikelkat. Mönkijät
62.52,Junat. Raitiovaunut. Metrovaunut
62.53,Polkupyörät
62.54,Vesikulkuneuvot
62.542,Laivat
62.544,Veneet
62.55,Ilmakulkuneuvot
62.56,Avaruusalukset. Avaruusteknologia
62.58,Liikennevälineiden pienoismallit
62.6,Sähkötekniikka
62.61,Sähköenergian tuottaminen
62.62,"Sähköenergian muuttaminen, muuntaminen, jakelu ja siirto"
62.67,Elektroniikka
63,KAIVANNAISTEOLLISUUS. KEMIANTEOLLISUUS
63.1,Kaivannaisteollisuus
63.12,Metallurgia
63.3,Keraaminen teollisuus. Lasiteollisuus. Sementtiteollisuus
63.5,Kemianteollisuus
63.7,Muovi- ja kumiteollisuus
64,PUUNJALOSTUSTEOLLISUUS. TEKSTIILITEOLLISUUS NAHKATEOLLISUUS. HIENOMEKAANINEN TEOLLISUUS
64.1,Puunjalostusteollisuus
64.11,Puuteollisuus
64.12,Huonekaluteollisuus
64.13,Paperi- ja selluloosateollisuus
64.3,Tekstiili- ja vaatetusteollisuus
64.4,Nahka- ja jalkineteollisuus
64.5,Hienomekaaninen teollisuus
64.52,Optiset ja lääketieteelliset laitteet
64.54,Soitinrakennus
